# lane,0,0,200,0
# obstacle,100,0,2.0,2.0
t,true_x,true_y,true_yaw,est_x,est_y,est_yaw,v,throttle,brake,steer,n_obj,obj_x,obj_y
0.00,0.020,-0.000,-0.0000,-0.166,-0.023,0.0103,0.046,1.000,0.000,-0.0063,0,,
0.10,0.060,0.000,0.0001,-0.143,-0.023,-0.0001,0.202,1.000,0.000,0.0072,0,,
0.20,0.120,0.000,0.0003,-0.109,-0.023,-0.0063,0.288,1.000,0.000,0.0113,0,,
0.30,0.200,0.000,0.0007,-0.060,-0.023,-0.0066,0.398,1.000,0.000,0.0119,0,,
0.40,0.300,0.000,0.0011,0.009,-0.023,-0.0053,0.549,1.000,0.000,0.0108,0,,
0.50,0.420,0.000,0.0015,0.299,-0.026,-0.0039,0.680,1.000,0.000,0.0109,0,,
0.60,0.560,0.001,0.0017,0.383,-0.026,0.0039,0.789,1.000,0.000,0.0020,0,,
0.70,0.720,0.001,0.0019,0.502,-0.026,0.0003,1.037,1.000,0.000,0.0044,0,,
0.80,0.900,0.001,0.0021,0.637,-0.026,0.0020,1.217,1.000,0.000,0.0028,0,,
0.90,1.100,0.002,0.0025,0.787,-0.026,0.0003,1.377,1.000,0.000,0.0049,0,,
1.00,1.320,0.002,0.0029,0.961,-0.026,-0.0003,1.574,1.000,0.000,0.0059,0,,
1.10,1.560,0.003,0.0031,1.262,-0.031,0.0037,1.791,1.000,0.000,0.0017,0,,
1.20,1.820,0.004,0.0030,1.477,-0.029,0.0066,2.026,1.000,0.000,-0.0013,0,,
1.30,2.100,0.005,0.0024,1.728,-0.025,0.0103,2.313,1.000,0.000,-0.0054,0,,
1.40,2.400,0.005,0.0019,1.980,-0.023,0.0091,2.428,1.000,0.000,-0.0047,0,,
1.50,2.720,0.006,0.0016,2.262,-0.023,0.0063,2.648,1.000,0.000,-0.0022,0,,
1.60,3.060,0.006,0.0006,2.650,0.028,0.0049,2.784,1.000,0.000,-0.0080,0,,
1.70,3.420,0.006,-0.0005,2.958,0.030,0.0041,2.968,1.000,0.000,-0.0081,0,,
1.80,3.800,0.005,-0.0014,3.291,0.031,0.0033,3.178,1.000,0.000,-0.0064,0,,
1.90,4.200,0.004,-0.0020,3.654,0.030,0.0000,3.431,1.000,0.000,-0.0040,0,,
2.00,4.620,0.003,-0.0028,4.023,0.034,0.0024,3.572,1.000,0.000,-0.0056,0,,
2.10,5.060,0.001,-0.0048,4.409,0.074,0.0034,3.808,1.000,0.000,-0.0120,0,,
2.20,5.520,-0.002,-0.0063,4.816,0.076,0.0013,3.963,1.000,0.000,-0.0089,0,,
2.30,6.000,-0.006,-0.0082,5.248,0.079,0.0014,4.171,1.000,0.000,-0.0105,0,,
2.40,6.500,-0.011,-0.0097,5.706,0.080,0.0003,4.397,1.000,0.000,-0.0084,0,,
2.50,7.020,-0.016,-0.0112,6.178,0.080,-0.0021,4.568,1.000,0.000,-0.0076,0,,
2.60,7.560,-0.023,-0.0129,6.664,0.107,-0.0028,4.808,1.000,0.000,-0.0086,0,,
2.70,8.120,-0.031,-0.0136,7.181,0.099,-0.0078,5.023,1.000,0.000,-0.0033,0,,
2.80,8.700,-0.039,-0.0135,7.716,0.086,-0.0125,5.208,1.000,0.000,0.0005,0,,
2.90,9.300,-0.046,-0.0127,8.279,0.074,-0.0146,5.436,1.000,0.000,0.0035,0,,
